Step Number,Vehicle ID,X Coordinate,Y Coordinate,Length Dimention,Width Dimention,Speed,Acceleration,Route Edges,Lane ID,Lane Position,Lane Index,Leader ID,Leader Distance,Driving Status,Is Near Exit
300,veh_Night_300_0,18004.800,509.614,5.000,1.800,2.414,2.414,"('BK1BK2', 'BK2BK3', 'BK3BK4', 'BK4BK5', 'BK5BJ5', 'BJ5BI5', 'BI5BH5', 'BH5BG5', 'BG5BF5', 'BF5BF6', 'BF6BG6')",BK1BK2_0,2.414,0,N/A,inf,Accelerating,False
300,veh_Night_300_1,5004.800,2008.928,5.000,1.800,1.728,1.728,"('AK4AK5', 'AK5AJ5', 'AJ5AI5', 'AI5AH5', 'AH5AG5', 'AG5AF5', 'AF5AF4', 'AF4AF3', 'AF3AF2', 'AF2AF1', 'AF1AF0', 'AF0AE0', 'AE0AE1')",AK4AK5_0,1.728,0,N/A,inf,Accelerating,False
300,veh_Night_300_2,10447.660,-2255.634,5.000,1.800,2.126,2.126,"('AV8AV9', 'AV9AV10', 'AV10AW10', 'AW10AX10', '-E0', 'BA0BA1', 'BA1BA2', 'BA2BA3', 'BA3BA4', 'BA4BA5', 'BA5BB5', 'BB5BC5', 'BC5BD5', 'BD5BE5', 'BE5BF5', 'BF5BF6', 'BF6BF7', 'BF7BG7', 'BG7BG8')",AV8AV9_0,2.126,0,N/A,inf,Accelerating,False
300,veh_Night_300_3,14991.358,3001.600,5.000,1.800,1.442,1.442,"('BE6BD6', 'BD6BD5', 'BD5BC5', 'BC5BB5', 'BB5BA5', '-E3', '-E2', 'AK5AJ5', 'AJ5AI5', 'AI5AH5', 'AH5AG5', 'AG5AG4', 'AG4AF4', 'AF4AF5')",BE6BD6_0,1.442,0,N/A,inf,Accelerating,False
300,veh_Night_300_4,17498.400,3990.770,5.000,1.800,2.030,2.030,"('BJ8BJ7', 'BJ7BJ6', 'BJ6BJ5', 'BJ5BI5', 'BI5BH5', 'BH5BG5', 'BG5BF5', 'BF5BF4', 'BF4BF3', 'BF3BF2', 'BF2BF1', 'BF1BF0', 'E5', 'AX5AX4', 'AX4AX3', 'AX3AX2', 'AX2AX1', 'AX1AX0', 'AX0AW0', 'AW0AV0', 'AV0AU0', 'AU0AT0', 'AT0AT1')",BJ8BJ7_0,2.030,0,N/A,inf,Accelerating,False
